src_ip,dst_ip,protocol_type,src_port,dst_port,frame_length,timestamp,duration,src_bytes,dst_bytes,service,flag,land,wrong_fragment,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,urgent,class
10.117.77.120,10.117.77.115,tcp,2501.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2506.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2507.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2510.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2511.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2512.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2513.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2516.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2517.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2522.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2523.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2526.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2527.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2530.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2531.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
