ip.src,ip.dst,ip.proto,ip.checksum,tcp.srcport,tcp.dstport,tcp.flags,frame.len,frame.time_epoch
"10.117.77.119","10.117.77.115","6","0x80ac","2246","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x38f1","2247","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x04e8","2248","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xa5af","3724","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x2cde","2249","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x6df7","3725","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x2a85","2252","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x1473","2253","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x6b1d","3730","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x79ce","3731","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xe4d7","3734","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x884e","2258","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xa372","3735","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x80d5","2259","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x3ea7","3736","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x99e0","3737","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x6e35","2262","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x6a3a","2263","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xb2c2","3740","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x9188","2264","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xf003","3741","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x4cdc","2265","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x8c01","3744","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x7c75","2268","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x7ac6","3745","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x78a6","2269","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x200f","3749","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x3ead","2272","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xd9e2","2273","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x2582","3754","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x3bdc","2276","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xcfb3","3755","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xb980","2277","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xa500","3758","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0x1465","3759","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xa982","3760","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xf007","2282","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0x0479","3761","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xea32","2283","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0x7b3d","3764","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xc944","2286","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0x94fa","3765","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xc595","2287","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xa436","2288","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x227a","2289","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x1d59","2292","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0x8a32","3770","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x8808","2293","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xc1f5","3771","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xffed","3774","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xe249","3775","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xad83","3756","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x22bf","2298","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x017e","2278","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xda20","2299","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xef6c","3757","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x2ee6","3828","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x4dc2","2279","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x814d","3778","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0x002d","2280","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x0fae","3779","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xc1df","2281","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x0eb7","2302","80","0x0002","60","1717611734.502688000"
"10.117.77.120","10.117.77.115","6","0xd41b","3762","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xd962","2303","80","0x0002","60","1717611734.502688000"
"10.117.77.119","10.117.77.115","6","0xf9d4","2284","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x98e7","3763","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xe6a0","2285","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0xbe95","3766","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x3e3f","3773","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x6bb8","3767","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xf639","2290","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x6b49","3768","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x787d","2291","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x0fe5","3769","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x57c7","2294","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0xdc37","3772","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x5322","2295","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xfbf6","2296","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x692f","2297","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x951e","3776","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x27a8","3777","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0x3cfe","2300","80","0x0002","60","1717611734.502692000"
"10.117.77.119","10.117.77.115","6","0xabd0","2301","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0x27df","3780","80","0x0002","60","1717611734.502692000"
"10.117.77.120","10.117.77.115","6","0xba04","3782","80","0x0002","60","1717611734.503044000"
"10.117.77.120","10.117.77.115","6","0xfda8","3781","80","0x0002","60","1717611734.503045000"
"10.117.77.120","10.117.77.115","6","0x3a42","3783","80","0x0002","60","1717611734.503044000"
"10.117.77.119","10.117.77.115","6","0x1abb","2304","80","0x0002","60","1717611734.503045000"
"10.117.77.119","10.117.77.115","6","0xd05e","2306","80","0x0002","60","1717611734.503044000"
"10.117.77.119","10.117.77.115","6","0xa7d9","2305","80","0x0002","60","1717611734.503045000"
"10.117.77.120","10.117.77.115","6","0xbf5a","3784","80","0x0002","60","1717611734.503044000"
"10.117.77.119","10.117.77.115","6","0x34c6","2308","80","0x0002","60","1717611734.503045000"
